,voto,federal,nombre,distrito,bloque,color,sesion,asunto,ano,fecha,hora,base,mayoria,resultado,presidente,presentes,ausentes,abstenciones,afirmativos,negativos,votopresidente,titulo,auditoria,permalink
56520,0,101.0,"LEGUIZAMÓN, María Laura",Ciudad Autónoma de Buenos Aires,Justicialista,#0101DF,124° Período Legislativo - Ordinario - 22º Sesión,"Orden del Día 959, Expediente CD-66/06. Votacion en general",2006,10/4/2006,19:42:00,Miembros presentes,Más de la mitad,AFIRMATIVO,"SCIOLI, Daniel",55,17,0,54,1,,"Dictamen en el proyecto de ley en revision sobre Programa Nacional de Educación Sexual Integral, Orden del Día 959 (CD - 66/06). Votacion en general",ninguna,2.23.0
56521,0,102.0,"IBARRA, Vilma Lidia",Ciudad Autónoma de Buenos Aires,Partido de la Victoria,,124° Período Legislativo - Ordinario - 22º Sesión,"Orden del Día 959, Expediente CD-66/06. Votacion en general",2006,10/4/2006,19:42:00,Miembros presentes,Más de la mitad,AFIRMATIVO,"SCIOLI, Daniel",55,17,0,54,1,,"Dictamen en el proyecto de ley en revision sobre Programa Nacional de Educación Sexual Integral, Orden del Día 959 (CD - 66/06). Votacion en general",ninguna,2.23.0
56522,0,103.0,"TERRAGNO, Rodolfo",Ciudad Autónoma de Buenos Aires,Radical Independiente,,124° Período Legislativo - Ordinario - 22º Sesión,"Orden del Día 959, Expediente CD-66/06. Votacion en general",2006,10/4/2006,19:42:00,Miembros presentes,Más de la mitad,AFIRMATIVO,"SCIOLI, Daniel",55,17,0,54,1,,"Dictamen en el proyecto de ley en revision sobre Programa Nacional de Educación Sexual Integral, Orden del Día 959 (CD - 66/06). Votacion en general",ninguna,2.23.0
56523,0,201.0,"PAMPURO, José Juan Bautista",Buenos Aires,Justicialista,#0101DF,124° Período Legislativo - Ordinario - 22º Sesión,"Orden del Día 959, Expediente CD-66/06. Votacion en general",2006,10/4/2006,19:42:00,Miembros presentes,Más de la mitad,AFIRMATIVO,"SCIOLI, Daniel",55,17,0,54,1,,"Dictamen en el proyecto de ley en revision sobre Programa Nacional de Educación Sexual Integral, Orden del Día 959 (CD - 66/06). Votacion en general",ninguna,2.23.0
56524,0,202.0,"GONZALEZ DE DUHALDE, Hilda Beatriz",Buenos Aires,Justicialista para el Dialogo de Los Argentinos,,124° Período Legislativo - Ordinario - 22º Sesión,"Orden del Día 959, Expediente CD-66/06. Votacion en general",2006,10/4/2006,19:42:00,Miembros presentes,Más de la mitad,AFIRMATIVO,"SCIOLI, Daniel",55,17,0,54,1,,"Dictamen en el proyecto de ley en revision sobre Programa Nacional de Educación Sexual Integral, Orden del Día 959 (CD - 66/06). Votacion en general",ninguna,2.23.0
56525,3,203.0,"FERNANDEZ DE KIRCHNER, Cristina",Buenos Aires,Justicialista,#0101DF,124° Período Legislativo - Ordinario - 22º Sesión,"Orden del Día 959, Expediente CD-66/06. Votacion en general",2006,10/4/2006,19:42:00,Miembros presentes,Más de la mitad,AFIRMATIVO,"SCIOLI, Daniel",55,17,0,54,1,,"Dictamen en el proyecto de ley en revision sobre Programa Nacional de Educación Sexual Integral, Orden del Día 959 (CD - 66/06). Votacion en general",ninguna,2.23.0
56526,0,301.0,"COLOMBO DE ACEVEDO, María Teresa",Catamarca,Frente Cívico y Social de Catamarca,,124° Período Legislativo - Ordinario - 22º Sesión,"Orden del Día 959, Expediente CD-66/06. Votacion en general",2006,10/4/2006,19:42:00,Miembros presentes,Más de la mitad,AFIRMATIVO,"SCIOLI, Daniel",55,17,0,54,1,,"Dictamen en el proyecto de ley en revision sobre Programa Nacional de Educación Sexual Integral, Orden del Día 959 (CD - 66/06). Votacion en general",ninguna,2.23.0
56527,0,302.0,"SAADI, Ramón Eduardo",Catamarca,Justicialista,#0101DF,124° Período Legislativo - Ordinario - 22º Sesión,"Orden del Día 959, Expediente CD-66/06. Votacion en general",2006,10/4/2006,19:42:00,Miembros presentes,Más de la mitad,AFIRMATIVO,"SCIOLI, Daniel",55,17,0,54,1,,"Dictamen en el proyecto de ley en revision sobre Programa Nacional de Educación Sexual Integral, Orden del Día 959 (CD - 66/06). Votacion en general",ninguna,2.23.0
56528,3,303.0,"CASTILLO, Oscar Aníbal",Catamarca,Frente Cívico y Social de Catamarca,,124° Período Legislativo - Ordinario - 22º Sesión,"Orden del Día 959, Expediente CD-66/06. Votacion en general",2006,10/4/2006,19:42:00,Miembros presentes,Más de la mitad,AFIRMATIVO,"SCIOLI, Daniel",55,17,0,54,1,,"Dictamen en el proyecto de ley en revision sobre Programa Nacional de Educación Sexual Integral, Orden del Día 959 (CD - 66/06). Votacion en general",ninguna,2.23.0
56529,0,401.0,"URQUIA, Roberto Daniel",Córdoba,Justicialista,#0101DF,124° Período Legislativo - Ordinario - 22º Sesión,"Orden del Día 959, Expediente CD-66/06. Votacion en general",2006,10/4/2006,19:42:00,Miembros presentes,Más de la mitad,AFIRMATIVO,"SCIOLI, Daniel",55,17,0,54,1,,"Dictamen en el proyecto de ley en revision sobre Programa Nacional de Educación Sexual Integral, Orden del Día 959 (CD - 66/06). Votacion en general",ninguna,2.23.0
56530,0,402.0,"ROSSI, Carlos Alberto",Córdoba,Vecinalista - Partido Nuevo,,124° Período Legislativo - Ordinario - 22º Sesión,"Orden del Día 959, Expediente CD-66/06. Votacion en general",2006,10/4/2006,19:42:00,Miembros presentes,Más de la mitad,AFIRMATIVO,"SCIOLI, Daniel",55,17,0,54,1,,"Dictamen en el proyecto de ley en revision sobre Programa Nacional de Educación Sexual Integral, Orden del Día 959 (CD - 66/06). Votacion en general",ninguna,2.23.0
56531,3,403.0,"GIRI, Haidé Delia",Córdoba,Justicialista,#0101DF,124° Período Legislativo - Ordinario - 22º Sesión,"Orden del Día 959, Expediente CD-66/06. Votacion en general",2006,10/4/2006,19:42:00,Miembros presentes,Más de la mitad,AFIRMATIVO,"SCIOLI, Daniel",55,17,0,54,1,,"Dictamen en el proyecto de ley en revision sobre Programa Nacional de Educación Sexual Integral, Orden del Día 959 (CD - 66/06). Votacion en general",ninguna,2.23.0
56532,0,501.0,"RÍOS, Roberto Fabián",Corrientes,Justicialista,#0101DF,124° Período Legislativo - Ordinario - 22º Sesión,"Orden del Día 959, Expediente CD-66/06. Votacion en general",2006,10/4/2006,19:42:00,Miembros presentes,Más de la mitad,AFIRMATIVO,"SCIOLI, Daniel",55,17,0,54,1,,"Dictamen en el proyecto de ley en revision sobre Programa Nacional de Educación Sexual Integral, Orden del Día 959 (CD - 66/06). Votacion en general",ninguna,2.23.0
56533,0,502.0,"VIUDES, Isabel Josefa",Corrientes,Partido Nuevo,,124° Período Legislativo - Ordinario - 22º Sesión,"Orden del Día 959, Expediente CD-66/06. Votacion en general",2006,10/4/2006,19:42:00,Miembros presentes,Más de la mitad,AFIRMATIVO,"SCIOLI, Daniel",55,17,0,54,1,,"Dictamen en el proyecto de ley en revision sobre Programa Nacional de Educación Sexual Integral, Orden del Día 959 (CD - 66/06). Votacion en general",ninguna,2.23.0
56534,0,503.0,"SANCHEZ, María Dora",Corrientes,Unión Cívica Radical,#d62728,124° Período Legislativo - Ordinario - 22º Sesión,"Orden del Día 959, Expediente CD-66/06. Votacion en general",2006,10/4/2006,19:42:00,Miembros presentes,Más de la mitad,AFIRMATIVO,"SCIOLI, Daniel",55,17,0,54,1,,"Dictamen en el proyecto de ley en revision sobre Programa Nacional de Educación Sexual Integral, Orden del Día 959 (CD - 66/06). Votacion en general",ninguna,2.23.0
56535,0,601.0,"CAPITANICH, Jorge Milton",Chaco,Justicialista,#0101DF,124° Período Legislativo - Ordinario - 22º Sesión,"Orden del Día 959, Expediente CD-66/06. Votacion en general",2006,10/4/2006,19:42:00,Miembros presentes,Más de la mitad,AFIRMATIVO,"SCIOLI, Daniel",55,17,0,54,1,,"Dictamen en el proyecto de ley en revision sobre Programa Nacional de Educación Sexual Integral, Orden del Día 959 (CD - 66/06). Votacion en general",ninguna,2.23.0
